palabra,sentimiento,word
comandante,confianza,commandant
dominante,positivo,commanding
dominante,confianza,commanding
conmemorar,anticipación,commemorate
conmemorar,alegría,commemorate
conmemorar,positivo,commemorate
conmemorar,tristeza,commemorate
conmemoración,anticipación,commemoration
conmemoración,alegría,commemoration
conmemoración,positivo,commemoration
conmemorativo,anticipación,commemorative
conmemorativo,positivo,commemorative
elogiar,positivo,commend
recomendable,alegría,commendable
recomendable,positivo,commendable
recomendable,confianza,commendable
comentarista,positivo,commentator
comercio,confianza,commerce
comisión,confianza,commission
compromiso,negativo,committal
compromiso,tristeza,committal
comprometido,positivo,committed
comprometido,confianza,committed
comité,confianza,committee
comodoro,positivo,commodore
comodoro,confianza,commodore
vulgar,anticipación,commonplace
vulgar,confianza,commonplace
mancomunidad,positivo,commonwealth
mancomunidad,confianza,commonwealth
conmoción,enfado,commotion
conmoción,negativo,commotion
comunicar,positivo,communicate
comunicar,confianza,communicate
comunicación,confianza,communication
comunicativo,positivo,communicative
comunión,alegría,communion
comunión,positivo,communion
comunión,confianza,communion
comunismo,enfado,communism
comunismo,miedo,communism
comunismo,negativo,communism
comunismo,tristeza,communism
comunista,negativo,communist
comunidad,positivo,community
conmutación,positivo,commutation
conmutar,positivo,commute
compacto,confianza,compact
compañero,alegría,companion
compañero,positivo,companion
compañero,confianza,companion
Brújula,confianza,compass
compasión,miedo,compassion
compasión,positivo,compassion
compasivo,positivo,compassionate
compatibilidad,positivo,compatibility
compatible,positivo,compatible
irresistible,positivo,compelling
compensar,anticipación,compensate
compensar,alegría,compensate
compensar,positivo,compensate
compensar,sorpresa,compensate
compensar,confianza,compensate
compensatorio,positivo,compensatory
competencia,positivo,competence
competencia,confianza,competence
competencia,positivo,competency
competencia,confianza,competency
competente,positivo,competent
competente,confianza,competent
competencia,anticipación,competition
competencia,negativo,competition
complacencia,positivo,complacency
quejar,enfado,complain
quejar,negativo,complain
quejar,tristeza,complain
queja,enfado,complaint
queja,negativo,complaint
complemento,anticipación,complement
complemento,alegría,complement
complemento,positivo,complement
complemento,sorpresa,complement
complemento,confianza,complement
complementario,positivo,complementary
completamente,positivo,completely
lo completo,positivo,completeness
completando,anticipación,completing
completando,alegría,completing
completando,positivo,completing
terminación,anticipación,completion
terminación,alegría,completion
terminación,positivo,completion
complejado,negativo,complexed
complejidad,negativo,complexity
conformidad,positivo,compliance
conformidad,confianza,compliance
obediente,positivo,compliant
complicar,enfado,complicate
complicar,negativo,complicate
Complicado,negativo,complicated
complicación,negativo,complication
complicidad,negativo,complicity
complicidad,positivo,complicity
cumplido,anticipación,compliment
cumplido,alegría,compliment
cumplido,positivo,compliment
cumplido,sorpresa,compliment
cumplido,confianza,compliment
compuesto,positivo,composed
compositor,positivo,composer
compost,asco,compost
compost,negativo,compost
calma,positivo,composure
comprender,positivo,comprehend
exhaustivo,positivo,comprehensive
comprimir,enfado,compress
contralor,confianza,comptroller
compulsión,enfado,compulsion
compulsión,negativo,compulsion
obligatorio,negativo,compulsory
camarada,positivo,comrade
camarada,confianza,comrade
encubrir,negativo,conceal
encubrir,tristeza,conceal
excusado,anticipación,concealed
excusado,miedo,concealed
excusado,negativo,concealed
excusado,sorpresa,concealed
ocultación,enfado,concealment
ocultación,anticipación,concealment
ocultación,miedo,concealment
ocultación,negativo,concealment
presunción,negativo,conceit
engreído,negativo,conceited
concéntrico,positivo,concentric
preocupado,miedo,concerned
preocupado,tristeza,concerned
conciliación,alegría,conciliation
conciliación,positivo,conciliation
conciliación,confianza,conciliation
concluyendo,positivo,concluding
concordia,positivo,concord
concordia,confianza,concord
concordancia,positivo,concordance
concordancia,confianza,concordance
concusión,enfado,concussion
concusión,negativo,concussion
concusión,tristeza,concussion
condenar,enfado,condemn
condenar,negativo,condemn
condenación,enfado,condemnation
condenación,anticipación,condemnation
condenación,asco,condemnation
condenación,miedo,condemnation
condenación,negativo,condemnation
condenación,tristeza,condemnation
condescendiente,negativo,condescending
condescendencia,enfado,condescension
condescendencia,asco,condescension
condescendencia,negativo,condescension
condescendencia,tristeza,condescension
condolencia,positivo,condolence
condolencia,tristeza,condolence
condonar,positivo,condone
conducente,positivo,conducive
conductividad,positivo,conductivity
confederado,positivo,confederate
confederado,confianza,confederate
confesar,negativo,confess
confesar,positivo,confess
confesar,confianza,confess
confesión,anticipación,confession
confesión,miedo,confession
confesión,negativo,confession
confesión,tristeza,confession
confesión,sorpresa,confession
confesional,miedo,confessional
confesional,confianza,confessional
confiar,confianza,confide
confianza,miedo,confidence
confianza,alegría,confidence
confianza,positivo,confidence
confianza,confianza,confidence
confidente,alegría,confident
confidente,positivo,confident
confidente,confianza,confident
confidencial,confianza,confidential
confidencialmente,confianza,confidentially
confinar,enfado,confine
confinar,miedo,confine
confinar,negativo,confine
confinar,tristeza,confine
confinado,enfado,confined
confinado,asco,confined
confinado,miedo,confined
confinado,negativo,confined
confinado,tristeza,confined
confinamiento,enfado,confinement
confinamiento,miedo,confinement
confinamiento,negativo,confinement
confinamiento,tristeza,confinement
confirmación,confianza,confirmation
confirmado,positivo,confirmed
confirmado,confianza,confirmed
confiscar,enfado,confiscate
confiscar,negativo,confiscate
confiscar,tristeza,confiscate
confiscación,negativo,confiscation
conflagración,enfado,conflagration
conflagración,miedo,conflagration
conflagración,negativo,conflagration
conflicto,enfado,conflict
conflicto,miedo,conflict
conflicto,negativo,conflict
conflicto,tristeza,conflict
contradictorio,negativo,conflicting
conformidad,positivo,conformance
conformidad,confianza,conformity
confundir,negativo,confound
aturdido,negativo,confounded
confrontar,enfado,confront
confundir,negativo,confuse
Confusión,enfado,confusion
Confusión,miedo,confusion
Confusión,negativo,confusion
agradable,positivo,congenial
congestión,negativo,congestion
conglomerado,confianza,conglomerate
congratulatorio,alegría,congratulatory
congratulatorio,positivo,congratulatory
congregación,positivo,congregation
congregación,confianza,congregation
congreso,asco,congress
congreso,confianza,congress
congresista,confianza,congressman
congruencia,positivo,congruence
congruencia,confianza,congruence
conjetura,anticipación,conjecture
conjurar,anticipación,conjure
conjurar,sorpresa,conjure
prestidigitación,negativo,conjuring
conectivo,confianza,connective
conocedor,alegría,connoisseur
conocedor,positivo,connoisseur
conocedor,confianza,connoisseur
conquista,enfado,conquest
conquista,miedo,conquest
conquista,negativo,conquest
conciencia,positivo,conscience
conciencia,confianza,conscience
concienzudo,positivo,conscientious
concienzudo,confianza,conscientious
conciencia,positivo,consciousness
consagración,anticipación,consecration
consagración,alegría,consecration
consagración,positivo,consecration
consagración,tristeza,consecration
consagración,confianza,consecration
consiguiente,anticipación,consequent
conservación,anticipación,conservation
conservación,positivo,conservation
conservación,confianza,conservation
conservar,positivo,conserve
considerable,positivo,considerable
considerado,positivo,considerate
considerado,confianza,considerate
consistencia,positivo,consistency
consistencia,confianza,consistency
consola,positivo,console
consola,tristeza,console
consonante,positivo,consonant
consorte,confianza,consort
conspiración,miedo,conspiracy
conspirador,enfado,conspirator
conspirador,anticipación,conspirator
conspirador,asco,conspirator
conspirador,miedo,conspirator
conspirador,negativo,conspirator
conspirar,miedo,conspire
conspirar,negativo,conspire
alguacil,confianza,constable
constancia,positivo,constancy
constancia,confianza,constancy
constante,positivo,constant
constante,confianza,constant
constantemente,confianza,constantly
consternación,enfado,consternation
consternación,miedo,consternation
consternación,negativo,consternation
estreñimiento,asco,constipation
estreñimiento,negativo,constipation
constituir,confianza,constitute
constitucional,positivo,constitutional
constitucional,confianza,constitutional
constreñir,miedo,constrain
constreñir,negativo,constrain
constreñido,negativo,constrained
restricción,enfado,constraint
restricción,miedo,constraint
restricción,negativo,constraint
restricción,tristeza,constraint
construir,positivo,construct
cónsul,confianza,consul
consultar,confianza,consult
consumar,positivo,consummate
contacto,positivo,contact
contagio,anticipación,contagion
contagio,asco,contagion
contagio,miedo,contagion
contagio,negativo,contagion
contagioso,asco,contagious
contagioso,miedo,contagious
contagioso,negativo,contagious
contaminar,asco,contaminate
contaminar,negativo,contaminate
contaminado,asco,contaminated
contaminado,miedo,contaminated
contaminado,negativo,contaminated
contaminado,tristeza,contaminated
contaminación,asco,contamination
contaminación,negativo,contamination
contemplación,positivo,contemplation
desprecio,enfado,contempt
desprecio,asco,contempt
desprecio,miedo,contempt
desprecio,negativo,contempt
despreciable,enfado,contemptible
despreciable,asco,contemptible
despreciable,negativo,contemptible
desdeñoso,enfado,contemptuous
desdeñoso,negativo,contemptuous
contenido,alegría,content
contenido,positivo,content
contenido,confianza,content
contencioso,enfado,contentious
contencioso,asco,contentious
contencioso,miedo,contentious
contencioso,negativo,contentious
contingente,anticipación,contingent
continuación,anticipación,continuation
continuar,anticipación,continue
continuar,positivo,continue
continuar,confianza,continue
contorno,positivo,contour
contrabando,enfado,contraband
contrabando,asco,contraband
contrabando,miedo,contraband
contrabando,negativo,contraband
contratado,negativo,contracted
contradecir,enfado,contradict
contradecir,negativo,contradict
contradicción,negativo,contradiction
contradictorio,negativo,contradictory
contrario,negativo,contrary
contrastado,negativo,contrasted
infringir,negativo,contravene
contravención,negativo,contravention
contribuir,positivo,contribute
contribuyente,positivo,contributor
contribuyente,confianza,contributor
polémico,enfado,controversial
polémico,negativo,controversial
controversia,negativo,controversy
conveniencia,positivo,convenience
conveniente,positivo,convenient
convento,positivo,convent
convento,confianza,convent
convención,positivo,convention
convergencia,anticipación,convergence
versado en,positivo,conversant
conversacional,positivo,conversational
convertir,positivo,convert
transmisión,confianza,conveyancing
condenar,enfado,convict
condenar,asco,convict
condenar,miedo,convict
condenar,negativo,convict
condenar,tristeza,convict
convicción,negativo,conviction
convencer,anticipación,convince
convencer,positivo,convince
convencer,confianza,convince
convencido,confianza,convinced
Convincente,confianza,convincing
guay,positivo,cool
frescura,positivo,coolness
cooperativa,enfado,coop
cooperativa,asco,coop
cooperativa,negativo,coop
cooperar,positivo,cooperate
cooperando,positivo,cooperating
cooperando,confianza,cooperating
cooperación,positivo,cooperation
cooperación,confianza,cooperation
cooperativa,positivo,cooperative
cooperativa,confianza,cooperative
policía,miedo,cop
policía,confianza,cop
dupdo,negativo,copy
imitador,enfado,copycat
imitador,asco,copycat
imitador,negativo,copycat
núcleo,positivo,core
coronación,alegría,coronation
coronación,positivo,coronation
coronación,confianza,coronation
juez de instrucción,negativo,coroner
corporal,negativo,corporal
sociedad,positivo,corporation
sociedad,confianza,corporation
corpóreo,positivo,corporeal
cadáver,asco,corpse
cadáver,negativo,corpse
cadáver,tristeza,corpse
corrección,negativo,correction
correctivo,positivo,corrective
exactitud,confianza,correctness
correspondencia,anticipación,correspondence
correspondencia,positivo,correspondence
corroborar,positivo,corroborate
corroborar,confianza,corroborate
corroboración,confianza,corroboration
corrosión,negativo,corrosion
corrosivo,miedo,corrosive
corrosivo,negativo,corrosive
corrupto,negativo,corrupt
corrompiendo,enfado,corrupting
corrompiendo,asco,corrupting
corrompiendo,miedo,corrupting
corrompiendo,negativo,corrupting
corrompiendo,tristeza,corrupting
corrupción,asco,corruption
corrupción,negativo,corruption
corse,tristeza,corse
cosmopolita,positivo,cosmopolitan
cosmopolita,confianza,cosmopolitan
acogedor,positivo,cosy
sofá,tristeza,couch
tos,asco,cough
tos,negativo,cough
Consejo,anticipación,council
Consejo,positivo,council
Consejo,confianza,council
consejo,positivo,counsel
consejo,confianza,counsel
consejero,enfado,counsellor
consejero,miedo,counsellor
consejero,negativo,counsellor
consejero,confianza,counsellor
consejero,positivo,counselor
consejero,confianza,counselor
contar,positivo,count
contar,confianza,count
cuenta regresiva,anticipación,countdown
condesa,positivo,countess
compatriota,confianza,countryman
condado,confianza,county
golpe,enfado,coup
golpe,sorpresa,coup
valor,positivo,courage
valiente,miedo,courageous
valiente,positivo,courageous
mensajero,confianza,courier
caza de liebres,negativo,coursing
Corte,enfado,court
Corte,anticipación,court
Corte,miedo,court
cortés,positivo,courteous
cortesía,positivo,courtesy
cortejo,anticipación,courtship
cortejo,alegría,courtship
cortejo,positivo,courtship
cortejo,confianza,courtship
ensenada,anticipación,cove
ensenada,asco,cove
ensenada,miedo,cove
ensenada,alegría,cove
ensenada,positivo,cove
pacto,positivo,covenant
pacto,confianza,covenant
cubrir,confianza,cover
codiciar,negativo,covet
cobarde,asco,coward
cobarde,miedo,coward
cobarde,negativo,coward
cobarde,tristeza,coward
cobardía,miedo,cowardice
cobardía,negativo,cowardice
cobardemente,miedo,cowardly
cobardemente,negativo,cowardly
tímido,miedo,coy
coyote,miedo,coyote
osco,enfado,crabby
osco,negativo,crabby
grieta,negativo,crack
agrietado,enfado,cracked
agrietado,miedo,cracked
agrietado,negativo,cracked
agrietamiento,negativo,cracking
cuna,anticipación,cradle
cuna,alegría,cradle
cuna,positivo,cradle
cuna,confianza,cradle
arte,positivo,craft
artesano,positivo,craftsman
calambre,anticipación,cramp
calambre,negativo,cramp
estrecho,negativo,cramped
manivela,negativo,crank
de maniático,enfado,cranky
de maniático,negativo,cranky
mierda,asco,crap
mierda,negativo,crap
dados,anticipación,craps
choque,miedo,crash
choque,negativo,crash
choque,tristeza,crash
choque,sorpresa,crash
pedir,anticipación,crave
ansia,anticipación,craving
gatear,asco,crawl
gatear,negativo,crawl
loco,enfado,crazed
loco,miedo,crazed
loco,negativo,crazed
loco,enfado,crazy
loco,miedo,crazy
loco,negativo,crazy
loco,tristeza,crazy
crujiente,negativo,creaking
crema,anticipación,cream
crema,alegría,cream
crema,positivo,cream
crema,sorpresa,cream
crear,alegría,create
crear,positivo,create
creativo,positivo,creative
criatura,asco,creature
criatura,miedo,creature
criatura,negativo,creature
crédito,positivo,credence
crédito,confianza,credence
credencial,positivo,credential
credencial,confianza,credential
credibilidad,positivo,credibility
credibilidad,confianza,credibility
creíble,positivo,credible
creíble,confianza,credible
crédito,positivo,credit
crédito,confianza,credit
loable,positivo,creditable
loable,confianza,creditable
acreditado,positivo,credited
arrastrarse,negativo,creep
progresivo,anticipación,creeping
cremación,tristeza,cremation
crescendo,anticipación,crescendo
crescendo,alegría,crescendo
crescendo,positivo,crescendo
crescendo,sorpresa,crescendo
crescendo,confianza,crescendo
equipo,confianza,crew
crimen,enfado,crime
crimen,negativo,crime
criminal,enfado,criminal
criminal,asco,criminal
criminal,miedo,criminal
criminal,negativo,criminal
criminalidad,enfado,criminality
criminalidad,asco,criminality
criminalidad,miedo,criminality
criminalidad,negativo,criminality
encogerse,asco,cringe
encogerse,miedo,cringe
encogerse,negativo,cringe
encogerse,tristeza,cringe
lisiado,miedo,cripple
lisiado,negativo,cripple
lisiado,tristeza,cripple
lisiado,negativo,crippled
lisiado,tristeza,crippled
crisis,negativo,crisis
crujiente,negativo,crisp
crujiente,confianza,crisp
crítico,negativo,critic
crítica,enfado,criticism
crítica,negativo,criticism
crítica,tristeza,criticism
criticar,enfado,criticize
criticar,asco,criticize
criticar,miedo,criticize
criticar,negativo,criticize
criticar,tristeza,criticize
crítica,positivo,critique
critter,asco,critter
cocodrilo,miedo,crocodile
ladrón,negativo,crook
cruzar,enfado,cross
cruzar,miedo,cross
cruzar,negativo,cross
cruzar,tristeza,cross
agacharse,miedo,crouch
agazapado,miedo,crouching
agazapado,negativo,crouching
coronamiento,anticipación,crowning
coronamiento,alegría,crowning
coronamiento,positivo,crowning
coronamiento,sorpresa,crowning
coronamiento,confianza,crowning
crucial,positivo,crucial
crucial,confianza,crucial
cruzado,negativo,cruciate
crucifixión,enfado,crucifixion
crucifixión,asco,crucifixion
crucifixión,miedo,crucifixion
crucifixión,negativo,crucifixion
crucifixión,tristeza,crucifixion
crudo,asco,crude
crudo,negativo,crude
cruel,enfado,cruel
cruel,asco,cruel
cruel,miedo,cruel
cruel,negativo,cruel
cruel,tristeza,cruel
con crueldad,enfado,cruelly
con crueldad,miedo,cruelly
con crueldad,negativo,cruelly
crueldad,enfado,cruelty
crueldad,asco,cruelty
crueldad,miedo,cruelty
crueldad,negativo,cruelty
crueldad,tristeza,cruelty
desmoronando,negativo,crumbling
desmoronando,tristeza,crumbling
crujido,enfado,crunch
crujido,negativo,crunch
cruzada,enfado,crusade
cruzada,miedo,crusade
cruzada,negativo,crusade
aplastada,enfado,crushed
aplastada,asco,crushed
aplastada,miedo,crushed
aplastada,negativo,crushed
aplastada,tristeza,crushed
aplastante,enfado,crushing
aplastante,asco,crushing
aplastante,miedo,crushing
aplastante,negativo,crushing
crujiente,asco,crusty
crujiente,negativo,crusty
llorar,negativo,cry
llorar,tristeza,cry
llorando,negativo,crying
llorando,tristeza,crying
cripta,miedo,crypt
cripta,negativo,crypt
cripta,tristeza,crypt
cristal,positivo,crystal
cubo,confianza,cube
cornudo,asco,cuckold
cornudo,negativo,cuckold
cuco,negativo,cuckoo
abrazo,alegría,cuddle
abrazo,positivo,cuddle
abrazo,confianza,cuddle
señal,anticipación,cue
culinario,positivo,culinary
culinario,confianza,culinary
desecho,negativo,cull
culminación,positivo,culmination
culpabilidad,negativo,culpability
culpable,negativo,culpable
culpable,negativo,culprit
culto,miedo,cult
culto,negativo,cult
cultivar,anticipación,cultivate
cultivar,positivo,cultivate
cultivar,confianza,cultivate
cultivado,positivo,cultivated
cultivo,positivo,cultivation
cultura,positivo,culture
incómodo,negativo,cumbersome
incómodo,tristeza,cumbersome
astucia,negativo,cunning
astucia,positivo,cunning
utilización de tazas,asco,cupping
utilización de tazas,miedo,cupping
utilización de tazas,negativo,cupping
utilización de tazas,tristeza,cupping
canalla,enfado,cur
canalla,asco,cur
canalla,miedo,cur
canalla,negativo,cur
curable,positivo,curable
curable,confianza,curable
curiosidad,anticipación,curiosity
curiosidad,positivo,curiosity
curiosidad,sorpresa,curiosity
rizo,positivo,curl
maldición,enfado,curse
maldición,asco,curse
maldición,miedo,curse
maldición,negativo,curse
maldición,tristeza,curse
maldito,enfado,cursed
maldito,miedo,cursed
maldito,negativo,cursed
maldito,tristeza,cursed
maldiciendo,enfado,cursing
maldiciendo,asco,cursing
maldiciendo,negativo,cursing
superficial,negativo,cursory
amortiguar,positivo,cushion
terco,enfado,cussed
custodio,confianza,custodian
custodia,confianza,custody
cliente,positivo,customer
linda,positivo,cute
cortador,miedo,cutter
cortador,negativo,cutter
cortadores,positivo,cutters
asesino,enfado,cutthroat
asesino,miedo,cutthroat
asesino,negativo,cutthroat
corte,enfado,cutting
corte,asco,cutting
corte,miedo,cutting
corte,negativo,cutting
corte,tristeza,cutting
cianuro,miedo,cyanide
cianuro,negativo,cyanide
ciclón,miedo,cyclone
ciclón,negativo,cyclone
ciclón,sorpresa,cyclone
quiste,miedo,cyst
quiste,negativo,cyst
quiste,tristeza,cyst
cístico,asco,cystic
citomegalovirus,negativo,cytomegalovirus
citomegalovirus,tristeza,cytomegalovirus
dabbling,enfado,dabbling
dabbling,asco,dabbling
dabbling,negativo,dabbling
demonio,enfado,daemon
demonio,asco,daemon
demonio,miedo,daemon
demonio,negativo,daemon
demonio,tristeza,daemon
demonio,sorpresa,daemon
loco,asco,daft
loco,negativo,daft
daga,miedo,dagger
daga,negativo,dagger
diario,anticipación,daily
dañar,enfado,damage
dañar,asco,damage
dañar,negativo,damage
dañar,tristeza,damage
daños y perjuicios,negativo,damages
daños y perjuicios,tristeza,damages
dama,enfado,dame
dama,asco,dame
dama,positivo,dame
dama,confianza,dame
Maldita sea,enfado,damn
Maldita sea,asco,damn
Maldita sea,negativo,damn
condenación,enfado,damnation
condenación,miedo,damnation
condenación,negativo,damnation
condenación,tristeza,damnation
maldito,negativo,damned
apagador,negativo,damper
danza,alegría,dance
danza,positivo,dance
danza,confianza,dance
caspa,negativo,dandruff
dandy,asco,dandy
dandy,negativo,dandy
peligro,miedo,danger
peligro,negativo,danger
peligro,tristeza,danger
peligroso,miedo,dangerous
peligroso,negativo,dangerous
húmedo,asco,dank
atrevimiento,anticipación,dare
atrevimiento,confianza,dare
atrevido,positivo,daring
oscuro,tristeza,dark
oscurecer,miedo,darken
oscurecer,negativo,darken
oscurecer,tristeza,darken
oscurecido,miedo,darkened
oscurecido,negativo,darkened
oscurecido,tristeza,darkened
oscuridad,enfado,darkness
oscuridad,miedo,darkness
oscuridad,negativo,darkness
oscuridad,tristeza,darkness
querido,alegría,darling
querido,positivo,darling
querido,confianza,darling
dardo,miedo,dart
precipitado,enfado,dashed
precipitado,miedo,dashed
precipitado,negativo,dashed
precipitado,tristeza,dashed
apuesto,positivo,dashing
ruin,enfado,dastardly
ruin,asco,dastardly
ruin,miedo,dastardly
ruin,negativo,dastardly
hija,alegría,daughter
hija,positivo,daughter
amanecer,anticipación,dawn
amanecer,alegría,dawn
amanecer,positivo,dawn
amanecer,sorpresa,dawn
amanecer,confianza,dawn
aturdido,negativo,dazed
diácono,confianza,deacon
desactivar,negativo,deactivate
punto muerto,negativo,deadlock
mortal,enfado,deadly
mortal,asco,deadly
mortal,miedo,deadly
mortal,negativo,deadly
mortal,tristeza,deadly
sordo,negativo,deaf
convenio,anticipación,deal
convenio,alegría,deal
convenio,positivo,deal
convenio,sorpresa,deal
convenio,confianza,deal
transacciones,confianza,dealings
querido,positivo,dear
muerte,enfado,death
muerte,anticipación,death
muerte,asco,death
muerte,miedo,death
muerte,negativo,death
muerte,tristeza,death
muerte,sorpresa,death
debacle,miedo,debacle
debacle,negativo,debacle
debacle,tristeza,debacle
debate,positivo,debate
libertinaje,asco,debauchery
libertinaje,miedo,debauchery
libertinaje,negativo,debauchery
obligación,anticipación,debenture
escombros,asco,debris
escombros,negativo,debris
deuda,negativo,debt
deuda,tristeza,debt
deudor,negativo,debtor
decaer,miedo,decay
decaer,negativo,decay
decaer,tristeza,decay
deteriorado,asco,decayed
deteriorado,negativo,decayed
deteriorado,tristeza,decayed
fallecido,negativo,deceased
fallecido,tristeza,deceased
engaño,enfado,deceit
engaño,asco,deceit
engaño,miedo,deceit
engaño,negativo,deceit
engaño,tristeza,deceit
engaño,sorpresa,deceit
engañoso,asco,deceitful
engañoso,negativo,deceitful
engañoso,tristeza,deceitful
engañar,enfado,deceive
engañar,asco,deceive
engañar,negativo,deceive
engañar,tristeza,deceive
engañado,enfado,deceived
engañado,negativo,deceived
engañoso,negativo,deceiving
engañoso,confianza,deceiving
decencia,positivo,decency
bueno,positivo,decent
engaño,negativo,deception
engañoso,negativo,deceptive
declaratorio,positivo,declaratory
declinación,negativo,declination
disminución,negativo,decline
declinante,negativo,declining
descomponer,asco,decompose
descompuesto,tristeza,decomposed
descomposición,asco,decomposition
descomposición,miedo,decomposition
descomposición,negativo,decomposition
descomposición,tristeza,decomposition
señuelo,sorpresa,decoy
disminución,negativo,decrease
decremento,negativo,decrement
decrépito,negativo,decrepit
desacreditar,enfado,decry
desacreditar,negativo,decry
Dedicación,positivo,dedication
deducir,negativo,deduct
escritura,confianza,deed
difamación,asco,defamation
difamación,miedo,defamation
difamación,negativo,defamation
difamatorio,enfado,defamatory
difamatorio,negativo,defamatory
defecto,asco,default
defecto,miedo,default
defecto,negativo,default
defecto,tristeza,default
derrota,negativo,defeat
derrotado,negativo,defeated
derrotado,tristeza,defeated
defecto,enfado,defect
defecto,negativo,defect
deserción,miedo,defection
deserción,negativo,defection
defectuoso,asco,defective
defectuoso,negativo,defective
defender,miedo,defend
defender,positivo,defend
acusado,enfado,defendant
acusado,miedo,defendant
acusado,tristeza,defendant
defendido,positivo,defended
defendido,confianza,defended
defensor,positivo,defender
defensor,confianza,defender
defendiendo,positivo,defending
defensa,enfado,defense
defensa,anticipación,defense
defensa,miedo,defense
defensa,positivo,defense
indefenso,miedo,defenseless
indefenso,negativo,defenseless
indefenso,tristeza,defenseless
deferencia,positivo,deference
deferencia,confianza,deference
aplazamiento,negativo,deferral
desafío,enfado,defiance
desafío,asco,defiance
desafío,miedo,defiance
desafío,negativo,defiance
desafiante,enfado,defiant
desafiante,negativo,defiant
deficiencia,negativo,deficiency
déficit,negativo,deficit
definitivo,positivo,definitive
definitivo,confianza,definitive
desinflar,enfado,deflate
desinflar,negativo,deflate
desinflar,tristeza,deflate
deflación,miedo,deflation
deflación,negativo,deflation
deformar,asco,deform
deformar,negativo,deform
deformado,asco,deformed
deformado,negativo,deformed
deformado,tristeza,deformed
deformidad,asco,deformity
deformidad,miedo,deformity
deformidad,negativo,deformity
deformidad,tristeza,deformity
defraudar,enfado,defraud
defraudar,asco,defraud
defraudar,negativo,defraud
difunto,negativo,defunct
difunto,tristeza,defunct
desafiar,enfado,defy
desafiar,miedo,defy
desafiar,negativo,defy
desafiar,tristeza,defy
desafiar,sorpresa,defy
degeneración,enfado,degeneracy
degeneración,asco,degeneracy
degeneración,negativo,degeneracy
degeneración,tristeza,degeneracy
degenerar,negativo,degenerate
degradación,negativo,degradation
degradar,asco,degrade
degradar,negativo,degrade
degradante,asco,degrading
degradante,miedo,degrading
degradante,negativo,degrading
degradante,tristeza,degrading
la licenciatura,positivo,degree
retrasar,enfado,delay
retrasar,asco,delay
retrasar,miedo,delay
retrasar,negativo,delay
retrasar,tristeza,delay
retrasado,negativo,delayed
delicioso,positivo,delectable
delegar,positivo,delegate
delegar,confianza,delegate
perjudicial,enfado,deleterious
perjudicial,asco,deleterious
perjudicial,miedo,deleterious
perjudicial,negativo,deleterious
supresión,negativo,deletion
deliberar,positivo,deliberate
delicioso,alegría,delicious
delicioso,positivo,delicious
deleite,anticipación,delight
deleite,alegría,delight
deleite,positivo,delight
Encantado,anticipación,delighted
Encantado,alegría,delighted
Encantado,positivo,delighted
Encantado,sorpresa,delighted
encantador,anticipación,delightful
encantador,alegría,delightful
encantador,positivo,delightful
encantador,confianza,delightful
delincuencia,negativo,delinquency
delincuente,enfado,delinquent
delincuente,asco,delinquent
delincuente,negativo,delinquent
delirante,negativo,delirious
delirante,tristeza,delirious
delirio,asco,delirium
delirio,negativo,delirium
delirio,tristeza,delirium
liberación,anticipación,deliverance
liberación,alegría,deliverance
liberación,positivo,deliverance
liberación,confianza,deliverance
entrega,anticipación,delivery
entrega,positivo,delivery
diluvio,miedo,deluge
diluvio,negativo,deluge
diluvio,tristeza,deluge
diluvio,sorpresa,deluge
engaño,enfado,delusion
engaño,miedo,delusion
engaño,negativo,delusion
engaño,tristeza,delusion
delirante,enfado,delusional
delirante,miedo,delusional
delirante,negativo,delusional
demanda,enfado,demand
demanda,negativo,demand
exigente,negativo,demanding
demente,miedo,demented
demente,negativo,demented
demencia,miedo,dementia
demencia,negativo,dementia
demencia,tristeza,dementia
fallecimiento,miedo,demise
fallecimiento,negativo,demise
fallecimiento,tristeza,demise
democracia,positivo,democracy
demoler,enfado,demolish
demoler,negativo,demolish
demoler,tristeza,demolish
demolición,negativo,demolition
demonio,enfado,demon
demonio,asco,demon
demonio,miedo,demon
demonio,negativo,demon
demonio,tristeza,demon
demoníaco,enfado,demonic
demoníaco,asco,demonic
demoníaco,miedo,demonic
demoníaco,negativo,demonic
demoníaco,tristeza,demonic
demostrable,positivo,demonstrable
demostrativo,alegría,demonstrative
demostrativo,positivo,demonstrative
demostrativo,tristeza,demonstrative
desmoralizado,miedo,demoralized
desmoralizado,negativo,demoralized
desmoralizado,tristeza,demoralized
negación,negativo,denial
negado,negativo,denied
negado,tristeza,denied
denunciar,enfado,denounce
denunciar,asco,denounce
denunciar,negativo,denounce
odontología,miedo,dentistry
denuncia,enfado,denunciation
denuncia,asco,denunciation
denuncia,miedo,denunciation
denuncia,negativo,denunciation
negar,enfado,deny
negar,negativo,deny
negando,anticipación,denying
negando,negativo,denying
partir,anticipación,depart
partir,tristeza,depart
salido,negativo,departed
salido,tristeza,departed
salida,negativo,departure
salida,tristeza,departure
depender,anticipación,depend
depender,confianza,depend
dependencia,miedo,dependence
dependencia,negativo,dependence
dependencia,tristeza,dependence
dependencia,negativo,dependency
dependiente,negativo,dependent
dependiente,positivo,dependent
dependiente,confianza,dependent
deplorable,enfado,deplorable
deplorable,asco,deplorable
deplorable,miedo,deplorable
deplorable,negativo,deplorable
